Ricoh DCN,STATE,ZIP_CODE_4
07072023-2/CUR6470-01_3211_05262023_0001141034/C001603983.TIF,N/A,606644-5477
07072023-2/CUR6470-01_2820_05152023_0001134360/C001428440.TIF,N/A,008879-1717
07072023-2/CUR6470-01_3313_05302023_0001142093/C001647330.TIF,N/A,78242.0
07072023-2/CUR6470-01_2974_05212023_0001137331/C001495550.TIF,N/A,1003042754
07072023-2/CUR6470-01_2974_05212023_0001137331/C001495568.TIF,N/A,331660-2336
07072023-2/CUR6470-01_3323_05302023_0001142048/C001652986.TIF,NIXIE,274 DE 1260
07072023-2/CUR6470-01_3323_05302023_0001142048/C001652977.TIF,NIXIE,331
07072023-2/CUR6470-01_3323_05302023_0001142048/C001652959.TIF,NIXIE,276
07072023-2/CUR6470-01_3323_05302023_0001142048/C001652951.TIF,NIXIE,274
07072023-2/CUR6470-01_3323_05302023_0001142048/C001652915.TIF,NIXIE,276
07072023-2/CUR6470-01_3323_05302023_0001142048/C001652942.TIF,ILL,276
07072023-2/CUR6470-01_3323_05302023_0001142048/C001652906.TIF,NIXIE,1260
07072023-2/CUR6470-01_3323_05302023_0001142048/C001652960.TIF,N/A,276
07072023-2/CUR6470-01_3323_05302023_0001142048/C001652924.TIF,N/A,282
07072023-2/CUR6470-01_3323_05302023_0001142048/C001652911.TIF,N/A,DE 1260
07072023-2/CUR6470-01_3323_05302023_0001142048/C001652902.TIF,N/A,33631337070
07072023-2/CUR6470-01_3323_05302023_0001142048/C001652920.TIF,NIXIE,1260
07072023-2/CUR6470-01_3323_05302023_0001142048/C001652999.TIF,B.C,202
07072023-2/CUR6470-01_3323_05302023_0001142048/C001652973.TIF,N/A,1260
07072023-2/CUR6470-01_3323_05302023_0001142048/C001652919.TIF,N/A,DE 1260
07072023-2/CUR6470-01_3323_05302023_0001142048/C001652955.TIF,NIXIE,DE 1260
07072023-2/CUR6470-01_3323_05302023_0001142048/C001652982.TIF,N/A,276
07072023-2/CUR6470-01_3323_05302023_0001142048/C001653002.TIF,N/A,3755
07072023-2/CUR6470-01_3323_05302023_0001142048/C001652928.TIF,N/A,DE 1260
07072023-2/CUR6470-01_3323_05302023_0001142048/C001652964.TIF,NIXIE,N/A
07072023-2/CUR6470-01_3323_05302023_0001142048/C001652988.TIF,N/A,2827
07072023-2/CUR6470-01_3323_05302023_0001142048/C001652979.TIF,NIXIE,276 DE 1260
07072023-2/CUR6470-01_3323_05302023_0001142048/C001652917.TIF,N/A,276
07072023-2/CUR6470-01_3323_05302023_0001142048/C001652953.TIF,N/A,1300
07072023-2/CUR6470-01_3323_05302023_0001142048/C001652935.TIF,NIXIE,N/A
07072023-2/CUR6470-01_3323_05302023_0001142048/C001652926.TIF,N/A,282
07072023-2/CUR6470-01_3323_05302023_0001142048/C001652944.TIF,N/A,276
07072023-2/CUR6470-01_3323_05302023_0001142048/C001652908.TIF,N/A,276
07072023-2/CUR6470-01_3323_05302023_0001142048/C001652913.TIF,NIXIE,276
07072023-2/CUR6470-01_3323_05302023_0001142048/C001652931.TIF,N/A,276
07072023-2/CUR6470-01_3323_05302023_0001142048/C001652922.TIF,N/A,276
07072023-2/CUR6470-01_3323_05302023_0001142048/C001652904.TIF,N/A,DE 1260
07072023-2/CUR6470-01_3323_05302023_0001142048/C001652940.TIF,N/A,276
07072023-2/CUR6470-01_3323_05302023_0001142048/C001652957.TIF,N/A,DE 1260
07072023-2/CUR6470-01_3323_05302023_0001142048/C001652975.TIF,N/A,276
07072023-2/CUR6470-01_3323_05302023_0001142048/C001652939.TIF,N/A,276
07072023-2/CUR6470-01_3323_05302023_0001142048/C001652966.TIF,N/A,276
07072023-2/CUR6470-01_3323_05302023_0001142048/C001652984.TIF,N/A,276
07072023-2/CUR6470-01_3323_05302023_0001142048/C001652996.TIF,B.C,33631337838
07072023-2/CUR6470-01_3323_05302023_0001142048/C001652978.TIF,N/A,33631337070
07072023-2/CUR6470-01_3323_05302023_0001142048/C001652969.TIF,NSS,3352143370
07072023-2/CUR6470-01_3323_05302023_0001142048/C001652987.TIF,N/A,274
07072023-2/CUR6470-01_3323_05302023_0001142048/C001652961.TIF,NIXIE,N/A
07072023-2/CUR6470-01_3323_05302023_0001142048/C001652925.TIF,N/A,282
07072023-2/CUR6470-01_3323_05302023_0001142048/C001652907.TIF,N/A,276
07072023-2/CUR6470-01_3323_05302023_0001142048/C001652970.TIF,N/A,295
07072023-2/CUR6470-01_3323_05302023_0001142048/C001652934.TIF,NIXIE,N/A
07072023-2/CUR6470-01_3323_05302023_0001142048/C001652952.TIF,NIXIE,274
07072023-2/CUR6470-01_3323_05302023_0001142048/C001652921.TIF,N/A,DE 1260
07072023-2/CUR6470-01_3323_05302023_0001142048/C001652903.TIF,N/A,DE 1260
07072023-2/CUR6470-01_3323_05302023_0001142048/C001652930.TIF,N/A,276
07072023-2/CUR6470-01_3323_05302023_0001142048/C001652912.TIF,N/A,1260
07072023-2/CUR6470-01_3323_05302023_0001142048/C001652929.TIF,N/A,276
07072023-2/CUR6470-01_3323_05302023_0001142048/C001652983.TIF,ARIANA,276
07072023-2/CUR6470-01_3323_05302023_0001142048/C001652938.TIF,NIXIE,N/A
07072023-2/CUR6470-01_3323_05302023_0001142048/C001652956.TIF,NIXIE,1260
07072023-2/CUR6470-01_3323_05302023_0001142048/C001652901.TIF,N/A,276
07072023-2/CUR6470-01_3323_05302023_0001142048/C001652945.TIF,NIXIE,276
07072023-2/CUR6470-01_3323_05302023_0001142048/C001653001.TIF,B.C,3353133770
07072023-2/CUR6470-01_3323_05302023_0001142048/C001652909.TIF,N/A,33631337075
07072023-2/CUR6470-01_3323_05302023_0001142048/C001652981.TIF,ILL,1260
07072023-2/CUR6470-01_3323_05302023_0001142048/C001652963.TIF,NIXIE,276
07072023-2/CUR6470-01_3323_05302023_0001142048/C001652927.TIF,NIXIE,282
07072023-2/CUR6470-01_3323_05302023_0001142048/C001652918.TIF,N/A,1260
07072023-2/CUR6470-01_3323_05302023_0001142048/C001652972.TIF,NIXIE,276
07072023-2/CUR6470-01_3323_05302023_0001142048/C001652905.TIF,N/A,1260
07072023-2/CUR6470-01_3323_05302023_0001142048/C001652941.TIF,N/A,1260
07072023-2/CUR6470-01_3323_05302023_0001142048/C001652923.TIF,N/A,276
07072023-2/CUR6470-01_3323_05302023_0001142048/C001652914.TIF,NIXIE,1260
07072023-2/CUR6470-01_3323_05302023_0001142048/C001652950.TIF,N/A,274
07072023-2/CUR6470-01_3323_05302023_0001142048/C001652932.TIF,NIXIE,276
07072023-2/CUR6470-01_3323_05302023_0001142048/C001652985.TIF,N/A,33631337070
07072023-2/CUR6470-01_3323_05302023_0001142048/C001652967.TIF,N/A,DE 1260
07072023-2/CUR6470-01_3323_05302023_0001142048/C001652994.TIF,N/A,255
07072023-2/CUR6470-01_3323_05302023_0001142048/C001652958.TIF,NIXIE,276
07072023-2/CUR6470-01_3323_05302023_0001142048/C001652976.TIF,NIXIE,33631337676
07072023-2/CUR6470-01_3180_02282023_0001139606/C001591862.TIF,N/A,928071630
07072023-2/CUR6470-01_3296_02012023_0001142081/C001639589.TIF,N/A,12832.0
07072023-2/CUR6470-01_3296_02012023_0001142081/C001639592.TIF,N/A,96749.0
07072023-2/CUR6470-01_3323_05302023_0001142040/C001652689.TIF,NIXIE,282
07072023-2/CUR6470-01_3323_05302023_0001142040/C001652610.TIF,N/A,282
07072023-2/CUR6470-01_3323_05302023_0001142040/C001652599.TIF,N/A,275 DE 1266
07072023-2/CUR6470-01_3323_05302023_0001142040/C001652618.TIF,NIXIE,282
07072023-2/CUR6470-01_3323_05302023_0001142040/C001652690.TIF,NIXIE,282
07072023-2/CUR6470-01_3323_05302023_0001142040/C001652654.TIF,N/A,275
07072023-2/CUR6470-01_3323_05302023_0001142040/C001652636.TIF,N/A,33631337575
07072023-2/CUR6470-01_3323_05302023_0001142040/C001652672.TIF,NIXIE,282
07072023-2/CUR6470-01_3323_05302023_0001142040/C001652627.TIF,B.C,282
07072023-2/CUR6470-01_3323_05302023_0001142040/C001652663.TIF,NIXIE,N/A
07072023-2/CUR6470-01_3323_05302023_0001142040/C001652645.TIF,NIXIE,N/A
07072023-2/CUR6470-01_3323_05302023_0001142040/C001652609.TIF,N/A,282
