Ricoh DCN,REGULATORY_APPROVAL_ID
07072023-2/CUR6470-01_3211_05262023_0001141034/C001603937.TIF,PDA
07072023-2/CUR6470-01_3211_05262023_0001141034/C001604008.TIF,JMR
07072023-2/CUR6470-01_3211_05262023_0001141034/C001603988.TIF,PDG
07072023-2/CUR6470-01_3211_05262023_0001141034/C001603930.TIF,NPR
07072023-2/CUR6470-01_3211_05262023_0001141034/C001603974.TIF,Y0020_WCM_79520E_C Internal Approved 07282021 NA2W3CMEOB79520E_2022
07072023-2/CUR6470-01_3211_05262023_0001141034/C001603983.TIF,IMR
07072023-2/CUR6470-01_3211_05262023_0001141034/C001603996.TIF,"Y0020_WCM_79520E_C Internal Approved 07282021 MA2WC,EPB79520E_2022"
07072023-2/CUR6470-01_3211_05262023_0001141034/C001603969.TIF,RMR
07072023-2/CUR6470-01_3211_05262023_0001141034/C001604014.TIF,UMR
07072023-2/CUR6470-01_3168_05242023_0001139498/C001585703.TIF,UXR NA2WCMEOB79520S_2022
07072023-2/CUR6470-01_3168_05242023_0001139498/C001585716.TIF,GMR NA2WCMEOB79520S_2022
07072023-2/CUR6470-01_3168_05242023_0001139498/C001585707.TIF,UXR NA2WCMEOB79520S_2022
07072023-2/CUR6470-01_3168_05242023_0001139498/C001585701.TIF,UXR
07072023-2/CUR6470-01_3168_05242023_0001139498/C001585718.TIF,UXR NA2WCMEOB79520S_2022
07072023-2/CUR6470-01_3168_05242023_0001139498/C001585673.TIF,RMR NA2WCMEOB79520S_2022
07072023-2/CUR6470-01_3168_05242023_0001139498/C001585681.TIF,Y0020_112147E_PDSS_MODIFIED_ 2023_ MATERIALS NA2PDGLTR13252E_0000
07072023-2/CUR6470-01_3168_05242023_0001139498/C001585720.TIF,UXR
07072023-2/CUR6470-01_3168_05242023_0001139498/C001585737.TIF,PRO
07072023-2/CUR6470-01_3309_05302023_0001142114/C001645496.TIF,Y0020_21_RXCOM00004_C_08232021 5246_9004MYWCA1
07072023-2/CUR6470-01_2901_05172023_0001135373/C001462873.TIF,PDA
07072023-2/CUR6470-01_3131_05232023_0001138687/C001564206.TIF,Y0020_WCM_75175E_C INTERNAL APPROVED
07072023-2/CUR6470-01_2966_05182023_0001136403/C001492471.TIF,Y0020_21_RXCOM00004_C_08232021 5246_9004MYWCA1
07072023-2/CUR6470-01_2627_05092023_0004130733/C001344295.TIF,Y0020_WCM_100186E_C INTERNAL APPROVED NA3WCMEOB00186E_0000
07072023-2/CUR6470-01_3313_05302023_0001142093/C001647358.TIF,UMR
07072023-2/CUR6470-01_3140_05232023_0004138854/C001573888.TIF,Y0020_WCM_100186E_C INTERNAL APPROVED 07252022 NAWCMEOB00186E_0000
07072023-2/CUR6470-01_3140_05232023_0004138854/C001573884.TIF,KMR
07072023-2/CUR6470-01_2661_05092023_0001131350/C001359543.TIF,Y0020_WCM_100186E_C INTERNAL APPROVED 07252022 NAWWCMEOB00186E_0000
07072023-2/CUR6470-01_3323_05302023_0001142048/C001652915.TIF,CAD_86961E_STATE APPROVED 09242021 NCICADDML86961E_0000
07072023-2/CUR6470-01_3323_05302023_0001142048/C001652999.TIF,CAD_86961E_STATE APPROVED 09242021 NCICADDML86961E_0000
07072023-2/CUR6470-01_3323_05302023_0001142048/C001652955.TIF,CAD_86961E_STATE APPROVED 09242021 NCICADDML86961E_0000
07072023-2/CUR6470-01_3323_05302023_0001142048/C001652928.TIF,CAD_86961E_STATE APPROVED 09242021 NCICADDML86961E_0000
07072023-2/CUR6470-01_3323_05302023_0001142048/C001652917.TIF,CAD_86961E_STATE APPROVED 09242021 NCICADDML86961E_0000
07072023-2/CUR6470-01_3323_05302023_0001142048/C001652962.TIF,CAD_86961E_STATE APPROVED 09242021 NCICADDML86961E_0000
07072023-2/CUR6470-01_3323_05302023_0001142048/C001653000.TIF,CAD_86961E_STATE APPROVED 09242021 NCICADDML86961E_0000
07072023-2/CUR6470-01_3323_05302023_0001142048/C001652931.TIF,CAD_86961E_STATE APPROVED 09242021 NCICADDML86961E_0000
07072023-2/CUR6470-01_3323_05302023_0001142048/C001652940.TIF,CAD_86961E_STATE APPROVED 09242021 NCICADDML86961E_0000
