,textract_conf_app_code,textract_conf_twenty_code,tesseract_conf_app_code,tesseract_conf_twenty_code,doc,RegId,RegIdConf,app_code_textract,app_code_tesseract,app_code_table_lookup,twenty_code_textract,twenty_code_tesseract,twenty_code_table_lookup,app_code_fallback,twenty_code_fallback,approval_back_up,twenty_back_up,history
0,,,,,,,,,,,,,,,,,,
1,,,,,CUR6470-01_311_04292023_0001125317-C001200979-00-bottom.tif,Y0020_WCM_106335M_C INTERNAL APPROVED 07062022 TX3UXRLTR10779E_0000,65.59420013427734,,,,,,TX3UXRLTR10779E_0000,Y0020_WCM_106335M_C INTERNAL APPROVED 07062022,,,,"['Tesseract twenty_code is FX3UXRLTR10779E_0000', 'Textract twenty_code is TX3UXRLTR10779E_0000', 'Tesseract app_code is Y0020_WCM_106335M_C', 'Textract app_code is Y0020_WCM_106335M_CINTERNAL', 'Tesseract app_code_fallback is FX3UXRLTR10779E_OOOO', 'Textract app_code_fallback is TX3UXRLTR10779E_0000', 'Tesseract app_code_fallback is 0020_WCM_106335M_C INTERNAL APPROVED MMDDYYYY', 'Textract app_code_fallback is Y0020_WCM_106335M_CINTERNAL APPROVED MMDDYYYY']"
2,,,,,CUR6470-01_311_04292023_0001125317-C001201036-00-bottom.tif,Y0020_WCM_79520E_C INTERNAL APPROVED 07282021 NA2WCMEOB79520E_2022,96.07561492919922,,,Y0020_WCM_79520E_C INTERNAL APPROVED 07282021,,,NA2WCMEOB79520E_2022,,,,,"['Tesseract app_code is Y0020_WCM_79520E_C INTERNAL APPROVED 07282021', 'Textract app_code is Y0020_WCM_79520E_CINTERNALAPPROVED 07282021', 'Tesseract twenty_code is NA2WCMEOB79520E_2022', 'Textract twenty_code is NA2WCMEOB79520E_2022']"
3,,,,,CUR6470-01_311_04292023_0001125317-C001201044-00-bottom.tif,Y0020_WCM_79520E_C INTERNAL APPROVED 07282021 NA2WCMEOB79520E_2022,59.55673599243164,,,Y0020_WCM_79520E_C INTERNAL APPROVED 07282021,,,NA2WCMEOB79520E_2022,,,,,"['Tesseract app_code is Y0020_WCM_79520E_C INTERNAL APPROVED 07282021', 'Textract app_code is (0020_WCM_79520E_CINTERNAL APPROVED 07282021', 'Tesseract twenty_code is NA2WCMEOB79520E_2022', 'Textract twenty_code is NA2WCMEOB79520E 2022']"
4,,,,,CUR6470-01_315_05012023_0004125683-C001202767-00-bottom.tif,Y0020_WCM_106335M_C INTERNAL APPROVED 07292022 NA3WCMLTR22018S_0000,74.33680725097656,,,Y0020_WCM_106335M_C INTERNAL APPROVED 07292022,,,NA3WCMLTR22018S_0000,,,,,"['Textract twenty_code is NA3WCMLTR22018S_0000', 'Tesseract app_code is Y0020_WCM_106335M_C INTERNALAPPROVED07292022', 'Textract app_code is Y0020_WCM_106335M_CINTERNALAPPROVED07292022']"
5,,,,,CUR6470-01_316_05012023_0001126156-C001202958-01-bottom.tif,Y0020_WCM_91154E_C INTERNAL APPROVED 11022021 NA2PDGLTR20448E_0000,90.81688690185547,,,Y0020_WCM_91154E_C INTERNAL APPROVED 11022021,,,NA2PDGLTR20448E_0000,,,,,"['Tesseract app_code is Y0020_WCM_91154E_C INTERNAL APPROVED 11022021', 'Textract app_code is Y0020_WCM_91154E_C INTERNAL APPROVED 11022021', 'Tesseract twenty_code is NA2PDGLTR20448E_0000', 'Textract twenty_code is NA2PDGLTR20448E_0000']"
6,,,,,CUR6470-01_316_05012023_0001126156-C001203004-00-bottom.tif,Y0020_WCM_100186E_C INTERNAL APPROVED 07252022 NA3WCMEOB00186E_0000,88.50984191894531,,,Y0020_WCM_100186E_C INTERNAL APPROVED 07252022,,,NA3WCMEOB00186E_0000,,,,,"['Tesseract app_code is Y0020_WCM_100186E_C INTEMAL APPROVED 07252022', 'Textract app_code is Y0020_WCM_100186E_CINTERNALAPPROVED 07252022', 'Tesseract twenty_code is NA3WCMEOB00186E_0000', 'Textract twenty_code is NA3WCMEOB00186E_0000']"
7,,,,,CUR6470-01_317_05012023_0001125667-C001203301-00-bottom.tif,Y0020_WCM_100186E_C INTERNAL APPROVED 07252022 NA3WCMEOB00186E_0000,62.85714285714287,,,Y0020_WCM_100186E_C INTERNAL APPROVED 07252022,,,NA3WCMEOB00186E_0000,,,,,"['Tesseract app_code is Y0020_WCM_100186E_C INTERNAL APPROVED 07252022', 'Textract app_code is (0020_WCM_100186E_C INTERNAL APPROVED 07252022', 'Tesseract twenty_code is NA3WCMEOB00186E_0000', 'Textract twenty_code is NA3WCMEOB00186E_0000']"
8,,,,,CUR6470-01_322_05012023_0001126087-C001205488-02-bottom.tif,Y0020_21_24677LTR_C_05182021 ,42.87760124206543,,,,,,,,,Y0020_21_24677LTR_C_05182021,,"['Tesseract app_code is Y0020_21_24677LTR_C_05182021', 'Textract app_code is Y0020_21_24677LTR_C_05182021', 'Tesseract twenty_code_fallback is EEE EEE IRE EE IDE ONE RE EE ANA NE DF HE TE FO', 'Textract twenty_code_fallback is - E 7117', 'Tesseract twenty_code_fallback is OCTOBER 1 TO MARCH 31 YOU CAN CALL US 7 DAYS A WEEK FROM 8 AM TO 8 P_M FROM APRIL 1 TO', 'Textract twenty_code_fallback is OCTOBER 1 TO MARCH 31, YOU CAN CALL US 7 DAYS A WEEK FROM 8 A.M. TO 8 P.M. FROM APRIL 1 TO', 'Tesseract twenty_code_fallback is SEPTEMBER 30 YOU CAN CALL US MONDAY THROUGH FRIDAY FROM 8 AM TO 8 PM A MESSAGING', 'Textract twenty_code_fallback is SEPTEMBER 30, YOU CAN CALL US MONDAY THROUGH FRIDAY FROM 8 A.M. TO 8 P.M. A MESSAGING', 'Tesseract twenty_code_fallback is SYSTEM IS USED AFTER HOURS WEEKENDS AND ON FEDERAL HOLIDAYS', 'Textract twenty_code_fallback is SYSTEM IS USED AFTER HOURS, WEEKENDS, AND ON FEDERAL HOLIDAYS.', 'Tesseract twenty_code_fallback is YOO20_21 24677LTR_C_05182021', 'Textract twenty_code_fallback is Y0020_21_24677LTR_C_05182021']"
9,,,,,CUR6470-01_351_05012023_0001126279-C001217115-00-bottom.tif,Y0020_WCM_96260E_C INTERNAL APPROVED 03212022 NA2WCMLTR96260E_0000,90.521728515625,,,Y0020_WCM_96260E_C INTERNAL APPROVED 03212022,,,NA2WCMLTR96260E_0000,,,,,"['Tesseract app_code is Y0020_WCM_96260E_C INTERNAL APPROVED 03212022', 'Textract app_code is Y0020_WCM_96260E_C INTERNAL APPROVED 03212022', 'Tesseract twenty_code is NA2WCMLTR96260E_0000', 'Textract twenty_code is NA2WCMLTR96260E_0000']"
10,96.04,,100,,CUR6470-01_351_05012023_0001126279-C001217160-00-bottom.tif,Y0070_PDP 46156E_C INTERNAL APPROVED 10022019 NA0PDGLTR46156E_0000,91.92890930175781,Y0070 PDP 46156E C INTERNAL APPROVED 10022019,Y0070 PDP 46156E C INTERNAL APPROVED 10022019,Y0070_PDP 46156E_C INTERNAL APPROVED 10022019,,,NA0PDGLTR46156E_0000,,,,,"['Tesseract app_code is Y0070 PDP 46156E C INTERNAL APPROVED 10022019', 'Textract app_code is Y0070_PDP_46156E_CINTERNAL APPROVED 10022019', 'Tesseract twenty_code is NA0PDGLTR46156E_0000', 'Textract twenty_code is NA0PDGLTR46156E_0000']"
11,,,,,CUR6470-01_362_05012023_0001126318-C001221765-00-bottom.tif,Y0020_WCM_79520E_C INTERNAL APPROVED 07282021 NA2WCMEOB79520E_2022,89.70104217529297,,,Y0020_WCM_79520E_C INTERNAL APPROVED 07282021,,,NA2WCMEOB79520E_2022,,,,,"['Tesseract app_code is Y0020_WCM_79520E_C INTERNAL APPROVED 07282021', 'Textract app_code is Y0020_WCM_79520E_C INTERNAL APPROVED 07282021', 'Tesseract twenty_code is NA2WCMEOB79520E_2022', 'Textract twenty_code is NA2WCMEOB79520E_2022']"
12,77.41,,100,,CUR6470-01_362_05012023_0001126318-C001221769-00-bottom.tif,PRO_108483E_STATO APPROVED 08052022 NA2PROLTR08483E_0000,76.56289672851562,PRO_108483E_STATO APPROVED 08052022,PRO_108483E_STATO APPROVED 08052022,PRO_108483E STATE APPROVED 08052022,,,NA2PROLTR08483E_0000,,,,,"['Tesseract app_code is PRO_108483E_STATO APPROVED 08052022', 'Textract app_code is PRO_108183E_STATOAPPROVOD 08052022', 'Tesseract twenty_code is NA2PROLTRO8483E_0000', 'Textract twenty_code is NA2PROLTR08483E_0000']"
13,,,,,CUR6470-01_362_05012023_0001126318-C001221821-00-bottom.tif,Y0020_WCM_56038E_C INTERNAL APPROVED 06052020 NA0WCMEOB56038E_0000,64.75989532470703,,,Y0020_WCM_56038E_C INTERNAL APPROVED 06052020,,,NA0WCMEOB56038E_0000,,,,,"['Tesseract app_code is Y0020_WCM_56038E_C INTERNAL APPROVED 06052020', 'Textract app_code is Y0020_WCM_56038E_C INTERNAL APPROVED 06052020', 'Tesseract twenty_code is NA0WCMEOBS6038E_0000', 'Textract twenty_code is NA0WCMEOB56038E_0000']"
