,textract_conf_app_code,textract_conf_twenty_code,tesseract_conf_app_code,tesseract_conf_twenty_code,doc,RegId,RegIdConf,app_code_textract,app_code_tesseract,app_code_table_lookup,twenty_code_textract,twenty_code_tesseract,twenty_code_table_lookup,app_code_fallback,twenty_code_fallback,approval_back_up,twenty_back_up,history
0,,,,,,,,,,,,,,,,,,
1,,,,,C001890862-0-bottom0.tif,PRO_26865E INTERNAL APPROVED 12142018 NA8PROLTR26865E_0000,77.00001100000001,,,PRO_26865E INTERNAL APPROVED 12142018,,,NA8PROLTR26865E_0000,,,,,"['Tesseract app_code is PRO 26865E INTERNAL APPROVED 12142018', 'Textract app_code is PRO 26865E INTERNAL APPROVED 12142018', 'Tesseract twenty_code is NA8PROLTR26865E_0000']"
2,,,,,C001890869-0-bottom0.tif,PRO_02430E INTERNAL APPROVED 07052017 NJ7PROLTR02430E_0000,74.50980392156863,,,PRO_02430E INTERNAL APPROVED 07052017,,,,,NJ7PROLTR02430E_0000,,,"['Tesseract app_code is PRO_02430E INTERNAL APPROVED 07052017', 'Textract app_code is PRO_02430E INTERNAL APPROVED 07052017', 'Tesseract twenty_code_fallback is DIVOW 2INI SONSEIZIEES ON 10 LAMININ IIW EAVIVIDAS YLIGB TANRION', 'Textract twenty_code_fallback is BLUOW ELRIT) ON TO LEMINIM RITIW ASITIVITOS VLISB LANNON', 'Tesseract twenty_code_fallback is BAITIBOM ES 10 GONSIAI2ES BISUG LONINAOLYDONSIE RITIW NOI', 'Textract twenty_code_fallback is BEILIBOM 26 10 BISUP DOSTROOLYDONSTE RITIW ,NOI', 'Tesseract twenty_code_fallback is C001890869', 'Textract twenty_code_fallback is C001890869', 'Tesseract twenty_code_fallback is PRO_02430E INTERNAL APPROVED 07052017', 'Textract twenty_code_fallback is PRO_02430E INTERNAL APPROVED 07052017', 'Tesseract twenty_code_fallback is SSOS WISUNEL BATEBQT', 'Textract twenty_code_fallback is SSOS MOUNEL BELSBQU', 'Tesseract twenty_code_fallback is OWWELLCARE 2017', 'Textract twenty_code_fallback is ©WELLCARE 2017', 'Tesseract twenty_code_fallback is SSCCSOSNJZPROLTRO2430E7 0000 GAD', 'Textract twenty_code_fallback is SSOS80ENJ7PROL-TR02430EF0000GAO']"
3,,,,,C001890888-0-bottom0.tif,PRO_13720E INTERNAL APPROVED 04202018 NA8PROLTR13720E_0000,96.49201965332031,,,PRO_13720E INTERNAL APPROVED 04202018,,,NA8PROLTR13720E_0000,,,,,"['Tesseract app_code is PRO_13720E INTERNAL APPROVED 04202018', 'Textract app_code is PRO_13720E INTERNAL APPROVED 04202018', 'Tesseract twenty_code is NA8PROLTR13720E_00C']"
4,,,,,C001890890-0-bottom0.tif,PRO_26865E INTERNAL APPROVED 12142018 NA8PROLTR26865E_0000,92.13070678710938,,,PRO_26865E INTERNAL APPROVED 12142018,,,NA8PROLTR26865E_0000,,,,,"['Tesseract app_code is PRO_26865E INTERNAL APPROVED 12142018', 'Textract app_code is PRO_26865E INTERNAL APPROVED 12142018', 'Tesseract twenty_code is NA8PROLTR26865E_0000', 'Textract twenty_code is NA8PROLTR26865E_0000']"
5,,,,,C001890906-0-bottom0.tif,NA018175_PRO_LTR_ENG ,46.58064002990723,,,,,,,,,NA018175_PRO_LTR_ENG,,"['Tesseract app_code is NA018175_PRO_LTR_ENG', 'Textract app_code is NA018175_PRO_LTR_ENG', 'Tesseract twenty_code_fallback is COPAY DEDUCTIBLE OR COINSURANCE', 'Textract twenty_code_fallback is CO-PAY, DEDUCTIBLE, OR CO-INSURANCE.', 'Tesseract twenty_code_fallback is THANK YOU', 'Textract twenty_code_fallback is THANK YOU,', 'Tesseract twenty_code_fallback is CLAIMS DEPARTMENT', 'Textract twenty_code_fallback is CLAIMS DEPARTMENT', 'Tesseract twenty_code_fallback is C001890906', 'Textract twenty_code_fallback is C001890906', 'Tesseract twenty_code_fallback is NA018175_PRO_LTR_ENG', 'Textract twenty_code_fallback is NA018175_PRO_LTR_ENG', 'Textract twenty_code_fallback is .', 'Tesseract twenty_code_fallback is WELLCARE 2012 NA_02_12', 'Textract twenty_code_fallback is CWELLCARE 2012 NA_02_12', 'Textract twenty_code_fallback is )', 'Tesseract twenty_code_fallback is 44241', 'Textract twenty_code_fallback is 44241']"
6,,,,,C001890914-0-bottom0.tif,NA018175_PRO_LTR_ENG ,47.44580345153808,,,,,,,,,NA018175_PRO_LTR_ENG,,"['Tesseract app_code is NA018175_PRO_LTR_ENG', 'Textract app_code is NA018175_PRO_LTR_ENG', 'Tesseract twenty_code_fallback is C MAU RMCKAETL GA EF NR OH CAPT NRK EE EE AEEIIETEEETLITADNEATIEDITATIENL IA_EE       DESTELENDLL', 'Textract twenty_code_fallback is TURSUANT TO T CUERA AND STATE STATUTES AND CONSISTENT WITH OUR CONTRACTOR', 'Tesseract twenty_code_fallback is HEALTH CARE PROVIDERS AND THEIR REPRESENTATIVES ARE PROHIBITED FROM ATTEMPTING TO COLLECT', 'Textract twenty_code_fallback is HEALTH CARE PROVIDERS AND THEIR REPRESENTATIVES ARE PROHIBITED FROM ATTEMPTING TO COLLECT', 'Tesseract twenty_code_fallback is PAYMENT FROM WELLCARE SUBSCRIBERS FOR COVERED SERVICES UNLESS IT IS THE MEMBERS', 'Textract twenty_code_fallback is PAYMENT FROM WELLCARE SUBSCRIBERS FOR COVERED SERVICES, UNLESS IT IS THE MEMBERS', 'Tesseract twenty_code_fallback is COPAY DEDUCTIBLE OR COINSURANCE', 'Textract twenty_code_fallback is CO-PAY, DEDUCTIBLE, OR CO-INSURANCE.', 'Tesseract twenty_code_fallback is NA018175 PRO_LTR_ENG', 'Textract twenty_code_fallback is NA018175_PRO_LTR_ENG', 'Textract twenty_code_fallback is C', 'Tesseract twenty_code_fallback is WELLCARE 2012 NA 02 12', 'Textract twenty_code_fallback is WELLCARE 2012 NA_02_12', 'Tesseract twenty_code_fallback is 44241', 'Textract twenty_code_fallback is 44241']"
7,,,,,C001890915-0-bottom0.tif,Y0020_WCM_86723E_C INTERNAL APPROVED 09222021 NA1WCMLTR86723E_0000,96.21794871794872,,,Y0020_WCM_86723E_C INTERNAL APPROVED 09222021,,,,,NA1WCMLTR86723E_0000,,,"['Tesseract app_code is Y0020_WCM_86723E_CINTERNAL APPROVED 09222021', 'Textract app_code is Y0020_WCM_86723E_CINTERNALAPPROVED 09222021', 'Tesseract twenty_code_fallback is C001890915', 'Textract twenty_code_fallback is C001890915', 'Tesseract twenty_code_fallback is Y0020_WCM_86723E_CINTERNAL APPROVED 09222021', 'Textract twenty_code_fallback is Y0020_WCM_86723E_CINTERNALAPPROVED 09222021', 'Tesseract twenty_code_fallback is WELLCARE 2021', 'Textract twenty_code_fallback is ©WELLCARE 2021', 'Tesseract twenty_code_fallback is NAIWCMLTR86723E 0000', 'Textract twenty_code_fallback is NA1WCMLTR86723E0000']"
8,,,,,C001890916-0-bottom0.tif,PRO_02433E INTERNAL APPROVED 07212017 KY7KMDLTR03346E_0717,85.0,,,,,,KY7KMDLTR03346E_0717,PRO_02433E INTERNAL APPROVED 07212017,,,,"['Tesseract app_code is RO 03346E CLPRO6 INTERNAL APPROVED 07142017', 'Textract app_code is PRO_03346E_CLPR06INTERNAL APPROVED 07142017', 'Tesseract twenty_code is KY7KMDLTRO3346E 0717', 'Textract twenty_code is KY7KMDLTR03346E_0717', 'Textract app_code_fallback is 2)', 'Textract app_code_fallback is RAX.', 'Tesseract app_code_fallback is YUU LOVIUY LB', 'Textract app_code_fallback is C001890916', 'Textract app_code_fallback is 3)', 'Tesseract app_code_fallback is MAIL', 'Textract app_code_fallback is MAIL:', 'Tesseract app_code_fallback is WELLCARE HEALTH PLANS', 'Textract app_code_fallback is WELLCARE HEALTH PLANS', 'Tesseract app_code_fallback is ATTENTION EXTERNAL INDEPENDENT THIRDPARTY REVIEW', 'Textract app_code_fallback is ATTENTION: EXTERNAL INDEPENDENT THIRD-PARTY REVIEW', 'Tesseract app_code_fallback is 43551 TRITON PARK BLVD SUITE 1800', 'Textract app_code_fallback is 13551 TRITON PARK BLVD. SUITE 1800', 'Tesseract app_code_fallback is RO 03346E CLPRO6 INTERNAL APPROVED 07142017', 'Textract app_code_fallback is PRO_03346E_CLPR06INTERNAL APPROVED 07142017']"
9,,,,,C001890932-0-bottom0.tif,Y0020_WCM_86723E_C INTERNAL APPROVED 09222021 NA1WCMLTR86723E_0000,95.75126647949219,,,Y0020_WCM_86723E_C INTERNAL APPROVED 09222021,,,,,NA1WCMLTR86723E_0000,,,"['Tesseract app_code is Y0020_WCM_86723E_CINTEMAL APPROVED 09222021', 'Textract app_code is Y0020_WCM_86723E_CINTERNAL APPROVED 09222021', 'Tesseract twenty_code_fallback is OTHER PHYSICIANSPROVIDERS ARE AVAILABLE IN OUR NETWORK', 'Textract twenty_code_fallback is +OTHER PHYSICIANS/PROVIDERS ARE AVAILABLE IN OUR NETWORK.', 'Tesseract twenty_code_fallback is C001890932', 'Textract twenty_code_fallback is C001890932', 'Tesseract twenty_code_fallback is Y0020_WCM_86723E_CLINTERNAL APPROVED 09222021', 'Textract twenty_code_fallback is Y0020_WCM_86723E_CINTERNAL APPROVED 09222021', 'Tesseract twenty_code_fallback is _ESNUD', 'Textract twenty_code_fallback is 985108', 'Tesseract twenty_code_fallback is HAWE ATE LY', 'Textract twenty_code_fallback is MCI.I', 'Tesseract twenty_code_fallback is OF00Y', 'Textract twenty_code_fallback is 0200Y', 'Tesseract twenty_code_fallback is OWELLCARE2021 2 WG 1 YAY', 'Textract twenty_code_fallback is ©WELLCARE 202157 10681 ""WIAH', 'Tesseract twenty_code_fallback is NAIWCMLTR86723E0000', 'Textract twenty_code_fallback is NA1WCMLTR86723E<0000']"
