,app_code_type,twenty_code_type,textract_conf_app_code,textract_conf_twenty_code,tesseract_conf_app_code,tesseract_conf_twenty_code,doc,RegId,RegIdConf,app_code_textract,app_code_tesseract,app_code_table_lookup,twenty_code_textract,twenty_code_tesseract,twenty_code_table_lookup,app_code_fallback,twenty_code_fallback,approval_back_up,twenty_back_up,history
0,,,,,,,,,,,,,,,,,,,,
1,recovery,100-match-mod-spaces,78.22,,91.33,,C001956461-00-bottom.tif,Y0020_WCM_88642E_C INTERNAL APPROVED 10212021 NA1WCMEOB88642E_0000,94.60000000000001,Y0020_WCM_88642E C INTERNAL APPROVED 10212021,Y0020_WCM_88642E C INTERNAL APPROVED 10212021,Y0020_WCM_88642E_C INTERNAL APPROVED 10212021,,,NA1WCMEOB88642E_0000,,,,,"['Tesseract app_code is Y0020_WCM_88642E C INTERNAL APPROVED 10212021', 'Textract app_code is Y0020_WCM_88642E_CINTERNAL APPROVED 10212021', 'Tesseract twenty_code is NA1WCMEOB88642E_0000']"
2,100-match-mod-spaces,100-match-mod-spaces,,,,,C001956463-00-bottom.tif,Y0020_WCM_88642E_C INTERNAL APPROVED 10212021 NA1WCMEOB88642E_0000,78.83333333333334,,,Y0020_WCM_88642E_C INTERNAL APPROVED 10212021,,,NA1WCMEOB88642E_0000,,,,,"['Tesseract app_code is Y0020_WCM_88642E_C INTERNAL APPROVED 10212021', 'Textract app_code is Y0020_WCM_88642E_CINTERNAL APPROVED 10212021', 'Tesseract twenty_code is NA1WCMEOB88642E_0000']"
3,100-match-mod-spaces,100-match-mod-spaces,,,,,C001956464-00-bottom.tif,Y0020_WCM_88642E_C INTERNAL APPROVED 10212021 NA1WCMEOB88642E_0000,66.57538461538462,,,Y0020_WCM_88642E_C INTERNAL APPROVED 10212021,,,NA1WCMEOB88642E_0000,,,,,"['Tesseract app_code is Y0020_WCM_88642E_C INTERNAL APPROVED 10212021', 'Textract app_code is Y0020_WCM_88642E_CINTERNALAPPROVED 10212021', 'Tesseract twenty_code is ABORRR4LAIB ANNN', 'Tesseract twenty_code is NA1WCMEOB88642E_0000']"
4,table,100-match-mod-spaces,,,,,C001956465-00-bottom.tif,Y0020_WCM_88642E_C INTERNAL APPROVED 10212021 NA1WCMEOB88642E_0000,80.30000000000001,,,Y0020_WCM_88642E_C INTERNAL APPROVED 10212021,,,NA1WCMEOB88642E_0000,,,,,"['Tesseract app_code is Y0020_WCM_88642E C INTERNAL APPROVED 10212021', 'Textract app_code is Y0020_WCM_88642E_CINTERNAL APPROVED 10212021', 'Tesseract twenty_code is NA1WCMEOB88642E_0000']"
5,100-match-mod-spaces,100-match-mod-spaces,,,,,C001956466-00-bottom.tif,Y0020_WCM_88642E_C INTERNAL APPROVED 10212021 NA1WCMEOB88642E_0000,82.2904761904762,,,Y0020_WCM_88642E_C INTERNAL APPROVED 10212021,,,NA1WCMEOB88642E_0000,,,,,"['Tesseract app_code is Y0020_WCM_88642E_C INTERNAL APPROVED 10212021', 'Textract app_code is Y0020_WCM_88642E_CINTERNAL APPROVED 10212021', 'Tesseract twenty_code is NA1WCMEOB88642E_0000', 'Textract twenty_code is NA1WCMEOB88642E_0000']"
6,100-match-mod-spaces,100-match-mod-spaces,,,,,C001956467-00-bottom.tif,Y0020_WCM_88642E_C INTERNAL APPROVED 10212021 NA1WCMEOB88642E_0000,52.32135009765625,,,Y0020_WCM_88642E_C INTERNAL APPROVED 10212021,,,NA1WCMEOB88642E_0000,,,,,"['Tesseract app_code is Y0020_WCM_88642E_C INTERNAL APPROVED 10212021', 'Textract app_code is Y0020_WCM_88642E_C INTERNALAPPROVED 10212021', 'Tesseract twenty_code is NA1WCMEOB88642E_0000', 'Textract twenty_code is NA1WCMEOB88642E_0000']"
7,recovery,100-match-mod-spaces,98.55,,85.33,,C001956468-00-bottom.tif,Y0020_WCM_88642E_C INTERNAL APPROVED 10212021 NA1WCMEOB88642E_0000,94.26614379882812,Y0020_WCM_88642E C INTERNAL APPROVED 10212021,Y0020_WCM_88642E C INTERNAL APPROVED 10212021,Y0020_WCM_88642E_C INTERNAL APPROVED 10212021,,,NA1WCMEOB88642E_0000,,,,,"['Tesseract app_code is Y0020_WCM_88642E C INTERNAL APPROVED 10212021', 'Textract app_code is Y0020_WCM_88642E_CINTERNAL APPROVED 10212021', 'Tesseract twenty_code is NA1WCMEOB88642E_0000', 'Textract twenty_code is NA1WCMEOB88642E_0000']"
8,100-match-mod-spaces,100-match-mod-spaces,,,,,C001956469-00-bottom.tif,Y0020_WCM_88642E_C INTERNAL APPROVED 10212021 NA1WCMEOB88642E_0000,77.00001100000001,,,Y0020_WCM_88642E_C INTERNAL APPROVED 10212021,,,NA1WCMEOB88642E_0000,,,,,"['Tesseract app_code is Y0020_WCM_88642E_C INTERNAL APPROVED 10212021', 'Textract app_code is Y0020_WCM_88642E_CINTERNAL APPROVED 10212021', 'Tesseract twenty_code is NA1WCMEOB88642E_0000']"
9,recovery,100-match-mod-spaces,96.24,,88.85,,C001956470-00-bottom.tif,Y0020_WCM_88642E_C INTERNAL APPROVED 10212021 NA1WCMEOB88642E_0000,77.00001100000001,Y0020_WCM_88642E C INTERNAL APPROVED 10212021,Y0020_WCM_88642E C INTERNAL APPROVED 10212021,Y0020_WCM_88642E_C INTERNAL APPROVED 10212021,,,NA1WCMEOB88642E_0000,,,,,"['Tesseract app_code is Y0020_WCM_88642E C INTERNAL APPROVED 10212021', 'Textract app_code is Y0020_WCM_88642E_CINTERNAL APPROVED 10212021', 'Tesseract twenty_code is NA1WCMEOB88642E_0000']"
10,100-match-mod-spaces,100-match-mod-spaces,,,,,C001956471-00-bottom.tif,Y0020_WCM_88642E_C INTERNAL APPROVED 10212021 NA1WCMEOB88642E_0000,68.39868927001953,,,Y0020_WCM_88642E_C INTERNAL APPROVED 10212021,,,NA1WCMEOB88642E_0000,,,,,"['Tesseract app_code is Y0020_WCM_88642E_C INTERNAL APPROVED 10212021', 'Textract app_code is Y0020_WCM_88642E_C INTERNAL APPROVED 10212021', 'Tesseract twenty_code is NA1WCMEOB88642E_0000']"
