,doc,RegId,RegIdConf,approval_textract,approval_tesseract,approval_table_lookup,twenty_textract,twenty_tesseract,twenty_table_lookup,history
0,,,,,,,,,,
1,CUR6470-01_2789_05132023_0001133377-C001414702-00-bottom.tif,Y0020_WCM_100186E_C INTERNAL APPROVED 07252022 NA3WCMEOB00186E_0000,91.62072571388245,Y0020_WCM_100186E_C INTERNAL APPROVED 07252022,Y0020_WCM_100186E_C INTERNAL APPROVED 07252022,Y0020 WCM 100186E C INTERNAL APPROVED 07252022,NA3WCMEOB00186E_0000,NA3WCMEOB00186E_0000,NA3WCMEOB00186E_0000,"['Tesseract app code is Y0020_WCM_100186E_C INTERNAL APPROVED 07252022', 'Textract app code is Y0020_WCM_100186E_C INTERNAL APPROVED 07252022', 'Tesseract twenty code is NA3WCMEOB00186E_0000', 'Textract twenty code is NA3WCMEOB00186E_0000']"
2,CUR6470-01_2789_05132023_0001133386-C001414751-00-bottom.tif,Y0020_WCM_100186E_C INTERNAL APPROVED 07252022 NA3WCMEOB00186E_0000,89.76023530855178,Y0020_WCM_100186E_CINTERNAL APPROVED 07252022,Y0020_WCM_100186E_C INTERNAL APPROVED 07252022,Y0020 WCM 100186E C INTERNAL APPROVED 07252022,NA3WCMEOB00186E_0000,NA3WCMEOB00186E_0000,NA3WCMEOB00186E_0000,"['Tesseract app code is Y0020_WCM_100186E_C INTERNAL APPROVED 07252022', 'Textract app code is Y0020_WCM_100186E_CINTERNAL APPROVED 07252022', 'Tesseract twenty code is NA3WCMEOB00186E_0000', 'Textract twenty code is NA3WCMEOB00186E_0000']"
3,CUR6470-01_2789_05132023_0001133386-C001414752-00-bottom.tif,Y0020_WCM_100186E_C INTERNAL APPROVED 07252022 NA3WCMEOB00186E_0000,90.87516313791504,Y0020_WCM_100186E_CINTERNAL APPROVED 07252022,Y0020_WCM_100186E_C INTERNAL APPROVED 07252022,Y0020 WCM 100186E C INTERNAL APPROVED 07252022,NA3WCMEOB00186E_0000,NA3WCMEOB00186E_0000,NA3WCMEOB00186E_0000,"['Tesseract app code is Y0020_WCM_100186E_C INTERNAL APPROVED 07252022', 'Textract app code is Y0020_WCM_100186E_CINTERNAL APPROVED 07252022', 'Tesseract twenty code is NA3WCMEOB00186E_0000', 'Textract twenty code is NA3WCMEOB00186E_0000']"
4,CUR6470-01_2789_05132023_0001133386-C001414804-00-bottom.tif,Y0020_WCM_100186E_C INTERNAL APPROVED 07252022 NA3WCMEOB00186E_0000,89.79030631472016,Y0020_WCM_100186E_CINTERNAL APPROVED 07252022,Y0020_WCM_100186E_C INTERNAL APPROVED 07252022,Y0020 WCM 100186E C INTERNAL APPROVED 07252022,NA3WCMEOB00186E_0000,NA3WCMEOBO00186E_0000,NA3WCMEOB00186E_0000,"['Tesseract app code is Y0020_WCM_100186E_C INTERNAL APPROVED 07252022', 'Textract app code is Y0020_WCM_100186E_CINTERNAL APPROVED 07252022', 'Tesseract twenty code is NA3WCMEOBO00186E_0000', 'Textract twenty code is NA3WCMEOB00186E_0000']"
5,CUR6470-01_2789_05132023_0001133386-C001414815-00-bottom.tif,0020_WCM_100186E_C INTERNAL APPROVED 07252022 NA3WCMEOB00186E_0000,91.22085117326766,0020_WCM_100186E_CINTERNALAPPROVED 07252022,0020_WCM_100186E_C INTERNAL APPROVED 07252022,Y0020 WCM 100186E C INTERNAL APPROVED 07252022,NA3WCMEOB00186E_0000,NA3WCMEOB00186E_0000,NA3WCMEOB00186E_0000,"['Tesseract app code is 0020_WCM_100186E_C INTERNAL APPROVED 07252022', 'Textract app code is 0020_WCM_100186E_CINTERNALAPPROVED 07252022', 'Tesseract twenty code is NA3WCMEOB00186E_0000', 'Textract twenty code is NA3WCMEOB00186E_0000']"
6,CUR6470-01_2789_05132023_0001133390-C001414889-00-bottom.tif,Y0020 WCM_100186E _C INTERNAL APPROVED 07252022 NA3WCMEOB00186E_0000,91.90497899156365,Y0020 WCM_100186E_CINTERNAL APPROVED 07252022,Y0020_WCM_100186E_ __C INTERNAL APPROVED 07252022,Y0020 WCM 100186E C INTERNAL APPROVED 07252022,NA3WCMEOB00186E_0000,NA3WCMEOB00186E 0000,NA3WCMEOB00186E_0000,"['Tesseract app code is Y0020_WCM_100186E_ __C INTERNAL APPROVED 07252022', 'Textract app code is Y0020 WCM_100186E_CINTERNAL APPROVED 07252022', 'Tesseract twenty code is NA3WCMEOB00186E 0000', 'Textract twenty code is NA3WCMEOB00186E_0000']"
7,CUR6470-01_2789_05132023_0001133390-C001414925-00-bottom.tif,Y0020_WCM_100186E_ C INTERNAL APPROVED 07252022 NA3WCMEOB00186E_0000,79.50888061523438,Y0020_WCM_100186E_C INTERNAL APPROVED 07252022,Y0020_WCM_100186E_ C INTERNAL SMAL APPROVED 07252022,Y0020 WCM 100186E C INTERNAL APPROVED 07252022,,,NA3WCMEOB00186E_0000,"['Tesseract app code is Y0020_WCM_100186E_ C INTERNAL SMAL APPROVED 07252022', 'Textract app code is Y0020_WCM_100186E_C INTERNAL APPROVED 07252022', 'Textract twenty code is NA3WCMEOB00186E_0000']"
8,CUR6470-01_2789_05132023_0001133390-C001414929-00-bottom.tif,Y0020_WCM_100186E_C INTERNAL APPROVED 07252022 NA3WCMEOB00186E_0000,94.1960467063562,(0020_WCM_100186E_CINTERNALAPPROVED 07252022,Y0020_WCM_100186E_C INTERNAL APPROVED 07252022,Y0020 WCM 100186E C INTERNAL APPROVED 07252022,NA3WCMEOB00186E_0000,NA3WCMEOB00186E_0000,NA3WCMEOB00186E_0000,"['Tesseract app code is Y0020_WCM_100186E_C INTERNAL APPROVED 07252022', 'Textract app code is (0020_WCM_100186E_CINTERNALAPPROVED 07252022', 'Tesseract twenty code is NA3WCMEOB00186E_0000', 'Textract twenty code is NA3WCMEOB00186E_0000']"
9,CUR6470-01_2789_05132023_0001133396-C001415010-00-bottom.tif,Y0020_WCM_100186E_C INTERNAL APPROVED 07252022 NA3WCMEOB00186E_0000,88.81574562056733,Y0020_WCM_100186E_C INTERNAL APPROVED 07252022,Y0020_WCM_100186E_C INTERNAL APPROVED 07252022,Y0020 WCM 100186E C INTERNAL APPROVED 07252022,NA3WCMEOB00186E_0000,NA3WCMEOB00186E_0000,NA3WCMEOB00186E_0000,"['Tesseract app code is Y0020_WCM_100186E_C INTERNAL APPROVED 07252022', 'Textract app code is Y0020_WCM_100186E_C INTERNAL APPROVED 07252022', 'Tesseract twenty code is NA3WCMEOB00186E_0000', 'Textract twenty code is NA3WCMEOB00186E_0000']"
