,textract_conf_approval,textract_conf_twenty,tesseract_conf_approval,tesseract_conf_twenty,doc,RegId,RegIdConf,approval_textract,approval_tesseract,approval_table_lookup,twenty_textract,twenty_tesseract,twenty_table_lookup,history
0,,,,,,,,,,,,,,
1,,76.44,,88.0,CUR6470-01_2765_05122023_0001133275-C001403777-00-bottom.tif,Y0020_WCM_56038E C INTERNAL APPROVED 06052020 NAOWCMEOB56038E_0000,95.09667205810547,,,Y0020_WCM_56038E C INTERNAL APPROVED 06052020,NAOWCMEOB56038E_0000,NAOWCMEOB56038E_0000,NA0WCMEOB56038E_0000,"['Tesseract app code is Y0020_WCM_56038E_C INTERNAL APPROVED 06052020', 'Textract app code is Y0020_WCM_56038E_CINTERNAL APPROVED 06052020', 'Tesseract twenty code is NAOWCMEOB56038E_0000', 'Textract twenty code is NAOWCMEOB56038E_0000']"
2,,,,,CUR6470-01_2765_05122023_0001133275-C001403781-00-bottom.tif,Y0020_WCM_56038E C INTERNAL APPROVED 06052020 NA0WCMEOB56038E_0000,68.40135955810547,,,Y0020_WCM_56038E C INTERNAL APPROVED 06052020,,,NA0WCMEOB56038E_0000,"['Tesseract app code is YO020_ WCM _56038EC INTERNAL APPROVED 0 06052020', 'Textract app code is Y0020_WCM_56038E C INTERNAL APPROVED 06052020', 'Textract twenty code is NAOWCMEOB560388 0000']"
3,83.96,83.96,83.4,83.4,CUR6470-01_2766_05122023_0001133306-C001403901-00-bottom.tif,Y0020_WCM_100186E_C INTERNAL APPROVED 07252022 NA3WCMEOB00186E_0000,98.36817543029785,Y0020_WCM_100186E_C1 INTERNAL APPROVED 07252022,Y0020_WCM_100186E_C INTERNAL APPROVED 07252022,Y0020_WCM_100186E_C INTERNAL APPROVED 07252022,NA3WCMEOB00186E_0000,NA3WCMEOB00186E_0000,NA3WCMEOB00186E_0000,"['Tesseract app code is Y0020_WCM_100186E_C INTERNAL APPROVED 07252022', 'Textract app code is Y0020_WCM_100186E_C1 INTERNAL APPROVED 07252022', 'Tesseract twenty code is NA3WCMEOB00186E_0000', 'Textract twenty code is NA3WCMEOB00186E_0000']"
4,93.53,93.53,78.2,78.2,CUR6470-01_2766_05122023_0001133312-C001404045-00-bottom.tif,Y0020_WCM_100186E_C INTERNAL APPROVED 07252022 NA3WCMEOB00186E_0000,98.58654075622559,Y0020_WCM_100186E_CINTERNAL APPROVED 07252022,Y0020_WCM_100186E_C INTERNAL APPROVED 07252022,Y0020_WCM_100186E_C INTERNAL APPROVED 07252022,NA3WCMEOB00186E_0000,NA3WCMEOBO00186E_0000,NA3WCMEOB00186E_0000,"['Tesseract app code is Y0020_WCM_100186E_C INTERNAL APPROVED 07252022', 'Textract app code is Y0020_WCM_100186E_CINTERNAL APPROVED 07252022', 'Tesseract twenty code is NA3WCMEOBO00186E_0000', 'Textract twenty code is NA3WCMEOB00186E_0000']"
5,,,,,CUR6470-01_2766_05122023_0001133312-C001404050-00-bottom.tif,Y0020_WCM_100186E_C INTERNAL APPROVED 07252022 NA3WCMEOB00186E_0000,93.41446685791016,,,Y0020_WCM_100186E_C INTERNAL APPROVED 07252022,,,NA3WCMEOB00186E_0000,"['Tesseract app code is Y0020_WCM_100186E_C INTERNAL APPROVED 07252022', 'Textract app code is Y0020_WCM_100186E_CINTERNAL APPROVED 07252022', 'Tesseract twenty code is NA3WCMEOB00186E_0000', 'Textract twenty code is NA3WCMEOB00186E_0000']"
6,,,,,CUR6470-01_2766_05122023_0001133318-C001404087-00-bottom.tif,Y0020_WCM_100186E_C INTERNAL APPROVED 07252022 NA3WCMEOBO00186E_0000,56.171268463134766,,,Y0020_WCM_100186E_C INTERNAL APPROVED 07252022,,,NA3WCMEOBO00186E_0000,"['Tesseract app code is Y0020_WCM_100186E_C INTERNAL APPROVED 07252022', 'Textract app code is Y0020_WCM_100186E_CINTERAL APPROVED 07252022', 'Tesseract twenty code is NA3WCMEOBO00186E_0000']"
7,92.8,92.8,84.6,84.6,CUR6470-01_2766_05122023_0001133318-C001404119-00-bottom.tif,Y0020_WCM_100186E_C INTERNAL APPROVED 07252022 NA3WCMEOB00186E_0000,98.86987464904786,Y0020_WCM_100186E_CINTERNAL APPROVED 07252022,Y0020_WCM_100186E_C INTERNAL APPROVED 07252022,Y0020_WCM_100186E_C INTERNAL APPROVED 07252022,NA3WCMEOB00186E_0000,NA3WCMEOB00186E_0000,NA3WCMEOB00186E_0000,"['Tesseract app code is Y0020_WCM_100186E_C INTERNAL APPROVED 07252022', 'Textract app code is Y0020_WCM_100186E_CINTERNAL APPROVED 07252022', 'Tesseract twenty code is NA3WCMEOB00186E_0000', 'Textract twenty code is NA3WCMEOB00186E_0000']"
8,75.61,75.61,75.0,75.0,CUR6470-01_2766_05122023_0001133321-C001404206-00-bottom.tif,Y0020_WCM_100186E_C INTERNAL APPROVED 07252022 NA3WCMEOB00186E_0000,95.3080319595337,Y0020_WCM_100186E_CINTERAL APPROVED 07252022,Y0020_WCM_100186E_C INTERNAL APPROVED 07252022,Y0020_WCM_100186E_C INTERNAL APPROVED 07252022,NA3WCMEOB00186E_0000,NA3WCMEOBO00186E_0000,NA3WCMEOB00186E_0000,"['Tesseract app code is Y0020_WCM_100186E_C INTERNAL APPROVED 07252022', 'Textract app code is Y0020_WCM_100186E_CINTERAL APPROVED 07252022', 'Tesseract twenty code is NA3WCMEOBO00186E_0000', 'Textract twenty code is NA3WCMEOB00186E_0000']"
9,,,,,CUR6470-01_2767_05122023_0001133280-C001404335-00-bottom.tif,Y0020_WCM_56038E C INTERNAL APPROVED 06052020 NA0WCMEOB56038E_0000,63.6882438659668,,,Y0020_WCM_56038E C INTERNAL APPROVED 06052020,,,NA0WCMEOB56038E_0000,"['Tesseract app code is Y0020_WCM_56038E_ C INTERNAL APPROVED 06052020', 'Textract app code is Y0020_WCM_56038E_C INTERNAL APPROVED 06052020', 'Tesseract twenty code is NAOWCMEOBSE038E_0000', 'Textract twenty code is NAOWCMEOB56038E_0000']"
